id,source,source_id,question,answer,question_en,answer_en,created_at,updated_at
7e3a4dc8-5c6d-5cc5-a242-016fb06baefb,第一赛季区域公开赛-广州站赛后判例,1106492573155852293-01,Q：【拉文布鲁姆学生】的技能遗漏触发,"A：拉文布鲁姆学生的技能触发条件“每当你打出一张法术牌时”，其中“打出”指的是这张法术牌被成功结算。
【拉文布鲁姆学生】的技能需要严格按照触发式技能的添加至结算链与结算流程进行操作，但由于在实际对局中比较繁琐
且遗漏触发十分常见，裁判组允许双方选手在打出【拉文布鲁姆学生】时进行约定：本轮对局中【拉文布鲁姆学生】的技能
默认触发，并正常结算。与此相对应,如果双方选手没有提前达成约定，裁判组将会严格按照错过触发进行裁定。",,,2025-08-29T10:36:18.000Z,2025-08-29T10:36:18.000Z
368e46a8-2b73-564f-9ea9-826fa5d8c27b,第一赛季区域公开赛-广州站赛后判例,1106492573155852293-02,Q：游戏开始时没有放置选定英雄,"A：遗忘放置选定英雄是一个较为容易发现的游戏流程错误，相关信息的缺失会导致比赛公平性受到影响。对局开始超过一回合
时，任意选手声明某选手的选定英雄区没有放置卡牌，裁判组将会裁定为单局败北。",,,2025-08-29T10:36:18.000Z,2025-08-29T10:36:18.000Z
fda63d9d-d8c4-5053-b64f-8f06e0e2c358,第一赛季区域公开赛-广州站赛后判例,1106492573155852293-03,Q：主牌堆卡牌混入符文牌堆,"A：对局开始后发现主牌堆卡牌混入符文牌堆，代表着比赛开始时主牌堆不足39张，这一情况严重违反比赛公平和赛场规则
裁判组将会裁定为单局败北。",,,2025-08-29T10:36:18.000Z,2025-08-29T10:36:18.000Z
c0a68b73-8bf2-51d5-9878-9bdcb573ed30,第一赛季区域公开赛-广州站赛后判例,1106492573155852293-04,Q：双方选手对得分出现异议,"A：裁判组建议双方选手加强有关得分方面的沟通，每次得分后主动与对手确认，并充分利用核销时发放的计分表和符文战场官
方小程序对战工具。",,,2025-08-29T10:36:18.000Z,2025-08-29T10:36:18.000Z
18305353-8e0d-5fcd-9d24-941e7e65c6e7,第一赛季区域公开赛-广州站赛后判例,1106492573155852293-05,Q：过度简化,"A：选手因过度简化操作流程导致错误时,将被裁判组裁定为非法操作。",,,2025-08-29T10:36:18.000Z,2025-08-29T10:36:18.000Z
c0033daf-8157-5da2-b6be-f1f7e6126c13,第一赛季区域公开赛-广州站赛后判例,1106492573155852293-06,Q：特殊情况导致比赛无法开始,A：选手原因导致无法开始比赛的，将被裁判组视为迟到。,,,2025-08-29T10:36:18.000Z,2025-08-29T10:36:18.000Z
03481cdf-c1f7-5337-8931-93af0f235fb6,第一赛季区域公开赛-广州站赛后判例,1106492573155852293-07,Q：对局开始的时机,"A：当双方选手展示战场、确定先后手、互相切洗卡组完成游戏准备后，无需抽取初始手牌，裁判组将会裁定双方选手已经开始
对局。",,,2025-08-29T10:36:18.000Z,2025-08-29T10:36:18.000Z
47f24027-a242-54d3-9edd-f3790421d087,第一赛季区域公开赛-广州站赛后判例,1106492573155852293-08,Q：（卡组检查第1条）,"A：卡组检查时,选手卡组中若出现了登记卡表以外的卡牌(尤其是在第二局、第三局的对战中)，将会受到单局败北及以
的判罚。",,,2025-08-29T10:36:18.000Z,2025-08-29T10:36:18.000Z
234af5f7-b7b8-54e6-a996-815721acc9dc,第一赛季区域公开赛-广州站赛后判例,1106492573155852293-09,Q：（卡组检查第2条）,A：当裁判将要进行卡检时，选手的选定英雄区若没有卡牌，将被视为卡组卡表不一致，会受到单局败北及以上的判罚。,,,2025-08-29T10:36:18.000Z,2025-08-29T10:36:18.000Z
7159740b-92d6-5ce7-97d9-a43761cd319a,第一赛季区域公开赛-广州站赛后判例,1106492573155852293-10,Q：（卡组检查第3条）,"A：卡套出现明显的颜色差异，如选定英雄的卡套为白色，主牌堆的卡套为红色,将被视为严重标记卡牌，会受到单局败北及以
上的判罚。",,,2025-08-29T10:36:18.000Z,2025-08-29T10:36:18.000Z
5c606751-48eb-5070-8151-826e9f5bc077,第一赛季区域公开赛-广州站赛后判例,1106492573155852293-11,Q：（卡组检查第4条）,"A：卡套若存在某种可循的规律性标记，将被视为标记卡牌,等同于严重的作嫌疑，会受到单局败北及以上的判罚。",,,2025-08-29T10:36:18.000Z,2025-08-29T10:36:18.000Z
3a99aeb7-7f82-55d0-9f21-b9ed926282cd,第一赛季区域公开赛-广州站赛后判例,1106492573155852293-12,Q：（卡组检查第5条）,A：卡套应符合公序良俗，选手若使用包含淫，暴力等内容的卡套图案，将会受到警告及以上的判罚。,,,2025-08-29T10:36:18.000Z,2025-08-29T10:36:18.000Z
0580422a-220f-5c7c-bf51-dac48640341b,第一赛季区域公开赛-广州站赛后判例,1106492573155852293-13,Q：（卡组检查第6条）,A：在选手错误导致的情况下，裁判组不予制作代卡。,,,2025-08-29T10:36:18.000Z,2025-08-29T10:36:18.000Z
3ab32495-b6cd-5629-b117-255eab9eec90,第一赛季区域公开赛-广州站赛后判例,1106492573155852293-14,Q：【幻梦之树】,A：【幻梦之树】的技能会在其中的友方单位被自已的法术进行自标选择时触发并添加至结算链，即使该法术被无效化也不会影响【幻梦之树】技能的结算。,,,2025-08-29T10:36:18.000Z,2025-08-29T10:36:18.000Z
